Reg No,2022-01-09,2022-01-10,2022-01-11
2020015,A,P,P
2020024,A,A,A
2020041,A,A,A
2020044,A,A,A
2020052,A,A,A
2020053,A,P,A
2020057,A,P,A
2020058,A,P,A
2020059,A,A,A
2020082,A,A,A
2020090,A,A,A
2020104,P,P,A,A
2020107,A,A,A,A
2020109,A,A,A,A
2020119,A,A,A,A
2020120,A,A,A,A
2020129,A,A,A,A
2020134,A,A,A,A
2020146,A,A,A,A
2020165,A,A,A,A
2020184,A,A,A,A
2020185,A,A,A,A
2020186,A,P,A,A
2020189,A,A,A,A
2020231,A,A,A,A
2020241,A,A,A,A
2020261,P,A,A,P
2020270,A,A,A,A
2020284,A,A,A,A
2020287,A,A,A,A
2020303,A,A,A,A
2020306,A,A,A,A
2020311,P,A,P,P
2020337,A,A,A,A
2020358,P,P,P,A
2020359,A,A,A,A
2020410,A,A,A,A
2020413,A,A,A,A
2020426,A,A,A,A
2020449,A,A,A,A
2020454,A,A,A,A
2020503,A,A,A,A
2020518,A,A,A,A
2020532,A,A,A,A
2020540,A,A,A,A
